,property_name,link,area,address
36,12 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-2700-sq-ft-spid-X69835696,(251 sq.m.) Plot Area,"Floor Wise Designer Kothi, DLF Phase 2, Gurgaon, Haryana"
37,3 Bedroom House for sale in Sector 15 Part 2,https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-sector-15-part-2-gurgaon-3231-sq-ft-spid-C69704462,(300 sq.m.) Plot Area,"Sector 15 Part 2, Gurgaon, Haryana"
38,4 Bedroom House for sale in Sector 28 Gurgaon,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-suncity-essel-towers-sector-28-gurgaon-2700-sq-ft-spid-W68348478,(251 sq.m.) Plot Area,"Sector 28 Gurgaon, Gurgaon, Haryana"
39,5 Bedroom House for sale in DLF Phase 2,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-2-gurgaon-2700-sq-ft-spid-F69978152,(251 sq.m.) Plot Area,"DLF Phase 2, Gurgaon, Haryana"
40,5 Bedroom House for sale in DLF Phase 1,https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-dlf-city-phase-1-gurgaon-1800-sq-ft-spid-J69977200,(167 sq.m.) Plot Area,"DLF Phase 1, Gurgaon, Haryana"
41,2 Bedroom House for sale in Narsinghpur,https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-narsinghpur-gurgaon-747-sq-ft-spid-Y68670558,(70 sq.m.) Plot Area,"House No. 4, Narsinghpur, Gurgaon, Haryana"
42,12 Bedroom House for sale in Sector 55 Gurgaon,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-55-gurgaon-2700-sq-ft-spid-B69901922,(251 sq.m.) Plot Area,"336, Sector 55 Gurgaon, Gurgaon, Haryana"
43,16 Bedroom House for sale in Sushant Lok Phase 1,https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-D69611236,(251 sq.m.) Plot Area,"C Block, Sushant Lok Phase 1, Gurgaon, Haryana"
44,12 Bedroom House for sale in Sector 56 Gurgaon,https://www.99acres.com/12-bhk-bedroom-independent-house-villa-for-sale-in-sector-56-gurgaon-2745-sq-ft-spid-K69588928,(255 sq.m.) Plot Area,"123, Sector 56 Gurgaon, Gurgaon, Haryana"
45,16 Bedroom House for sale in Sector 56 Gurgaon,https://www.99acres.com/16-bhk-bedroom-independent-house-villa-for-sale-in-sector-56-gurgaon-2700-sq-ft-spid-D68743678,(251 sq.m.) Plot Area,"353, Sector 56 Gurgaon, Gurgaon, Haryana"
